nazwa_pliku,waga_kb,szerokosc,wysokosc,proporcje,jasnosc,kolor_R,kolor_G,kolor_B
585923781a.jpg,38.32,1080,849,1.27,140.86,88,108,142
5889e6ea08.jpg,45.35,721,900,0.8,146.11,160,146,126
590298605a.jpg,171.72,1080,1440,0.75,94.06,199,202,205
597a4e7812.jpg,460.04,1080,957,1.13,88.14,215,202,197
5984dbfd5f.jpg,289.92,1080,1057,1.02,201.33,214,202,189
59dc14fb71.jpg,36.72,782,815,0.96,173.05,195,201,216
5a082bfbd3.jpg,265.68,1080,836,1.29,202.16,232,227,219
5a43a00018.jpg,37.63,750,500,1.5,45.06,26,21,16
5b1a96eb73.jpg,61.01,1080,983,1.1,163.18,91,68,66
5bb9104f72.jpg,38.19,720,699,1.03,50.31,15,15,16
5bcfeb9b38.jpg,25.48,526,526,1.0,156.62,160,113,88
5be53d1549.jpg,105.45,1080,980,1.1,102.35,33,35,23
5bfa0cbe5d.jpg,637.16,1080,1112,0.97,95.14,211,147,132
5c04de5441.jpg,19.03,480,497,0.97,194.41,202,203,201
5cc0d7c4aa.jpg,48.88,712,712,1.0,108.75,113,114,103
5cd6691d50.jpg,59.39,1080,1204,0.9,84.49,51,51,29
5ce53234d2.jpg,68.51,596,986,0.6,96.77,113,102,99
5d4e5612db.jpg,46.5,1080,1029,1.05,132.43,33,33,18
5dc15feb43.jpg,55.87,960,960,1.0,84.93,53,42,35
5e3bec6d21.jpg,671.89,1080,1327,0.81,134.8,191,171,101
5e6dcefa28.jpg,533.27,1080,1274,0.85,120.52,64,48,42
5e71fe09c2.jpg,404.79,1080,1210,0.89,57.67,42,37,46
5e82c7910e.jpg,197.27,1080,1350,0.8,156.63,226,214,206
5ea1546c78.jpg,30.92,615,960,0.64,53.41,31,29,26
5eb82999c1.jpg,33.2,1080,661,1.63,193.38,230,205,138
5ebff3a3c0.jpg,14.44,400,329,1.22,69.29,72,63,55
5f0cbf2d85.jpg,298.58,1080,637,1.7,129.09,50,51,52
5f6027ab1a.jpg,328.72,1080,761,1.42,112.93,20,46,35
5f6b7ab5d5.jpg,43.91,1080,1080,1.0,25.93,15,16,16
5f851335cc.jpg,489.78,1080,1063,1.02,123.04,65,94,108
5f8767a37b.jpg,13.57,373,280,1.33,105.95,61,49,44
5fb618006e.jpg,25.12,745,385,1.94,116.55,45,37,32
5fb75049da.jpg,37.22,828,821,1.01,63.3,53,44,54
5fb9c9f428.jpg,236.71,1080,729,1.48,77.65,39,33,32
5fc4bdcb98.jpg,640.55,1080,1320,0.82,69.35,22,34,32
60fa735a1d.jpg,330.05,1080,1084,1.0,58.89,26,31,27
619c33d85d.jpg,70.4,750,744,1.01,122.62,241,240,239
61c389cc98.jpg,299.68,1080,784,1.38,99.22,42,44,35
622e5a5b37.jpg,335.34,1080,1312,0.82,158.84,128,112,104
62565f84b7.jpg,54.06,488,960,0.51,168.59,181,177,169
627d41d88b.jpg,112.3,564,697,0.81,75.87,62,40,25
6334d2aaba.jpg,0.0,0,0,0.0,0.0,0,0,0
639ce3fa5c.jpg,49.48,600,528,1.14,108.3,225,198,154
639d3acf93.jpg,479.21,1080,1040,1.04,31.09,28,21,17
63d5503e95.jpg,32.99,549,903,0.61,93.92,82,94,93
64531d57ff.jpg,432.16,1080,1125,0.96,168.48,196,187,181
64f3d56350.jpg,40.42,749,862,0.87,150.65,68,57,50
64f56a7097.jpg,284.62,1080,1029,1.05,142.48,39,25,17
6509ec895f.jpg,425.2,1080,938,1.15,110.13,171,150,115
6549c48782.jpg,68.99,665,778,0.85,113.48,72,62,55
65828a9258.jpg,33.13,571,960,0.59,31.31,18,19,21
659865324e.jpg,355.63,1080,736,1.47,112.47,95,93,103
65ba682469.jpg,415.1,1080,1222,0.88,140.39,215,203,177
65dab6f491.jpg,32.71,720,696,1.03,107.88,112,91,73
65fc1a8064.jpg,247.43,1080,1006,1.07,101.42,92,60,58
662e80a0c4.jpg,61.87,750,970,0.77,117.89,52,42,38
66605db1f0.jpg,23.06,526,526,1.0,134.73,47,36,26
