nazwa_pliku,ocena
c9bc7331ae.jpg,1
dd44ff6cb5.jpg,-1
e9e1094369.jpg,1
d408e38f29.jpg,-1
79eca4f019.jpg,1
d954932bdd.jpg,1
ebb37bd193.jpg,1
cfadad892b.jpg,1
09af79577e.jpg,-1
757c0cc3b0.jpg,-1
00400f8b12.jpg,-1
1bab4999fe.jpg,1
0b41ea0022.jpg,-1
757c0cc3b0.jpg,1
76e4f02ff8.jpg,1
e442359687.jpg,1
2f49af5273.jpg,1
21f16627f5.jpg,1
d20e59e4e1.jpg,-1
cafec7d931.jpg,-1
3f06392620.jpg,1
220f3e6a61.jpg,-1
3358924d9d.jpg,1
cc477a83f5.jpg,-1
7eff323f26.jpg,1
d20e59e4e1.jpg,-1
a019ec5181.jpg,1
c7951808b0.jpg,-1
e8a947e600.jpg,1
af8e700e6f.jpg,-1
7fc94781de.jpg,1
c9bc7331ae.jpg,1
e9e1094369.jpg,1
55427b5753.jpg,1
9fbf4c155f.jpg,-1
c76dad5d2c.jpg,-1
3b3975e852.jpg,-1
220f3e6a61.jpg,-1
d408e38f29.jpg,1
76e4f02ff8.jpg,-1
3ebb4532d5.jpg,-1
21f16627f5.jpg,1
757c0cc3b0.jpg,1
a019ec5181.jpg,-1
2235c9f991.jpg,-1
46bba2cec5.jpg,1
ebb37bd193.jpg,-1
21f16627f5.jpg,-1
0b41ea0022.jpg,1
28248e6c1f.jpg,-1
386a40439d.jpg,-1
0fad1cf518.jpg,1
cc477a83f5.jpg,-1
28248e6c1f.jpg,1
51a5c610db.jpg,-1
08cd6378b1.jpg,1
e9e16099c0.jpg,-1
707e9d5e0e.jpg,1
06dd7b08c5.jpg,-1
42a5e1babb.jpg,1
79eca4f019.jpg,-1
6753da0f31.jpg,1
ef3ac699ab.jpg,-1
a6d2ee0057.jpg,-1
c3bcb09bd8.jpg,1
d408e38f29.jpg,-1
7eff323f26.jpg,-1
3d4fab2611.jpg,1
6753da0f31.jpg,1
55427b5753.jpg,-1
09af79577e.jpg,1
9cd496ef4e.jpg,1
09af79577e.jpg,-1
220f3e6a61.jpg,-1
00400f8b12.jpg,-1
d20e59e4e1.jpg,-1
09ca8b0e1b.jpg,-1
ef3ac699ab.jpg,1
cafec7d931.jpg,-1
d41be80b20.jpg,-1
012f7ba99d.jpg,-1
cafec7d931.jpg,-1
8a9aeca51e.jpg,-1
6753da0f31.jpg,-1
fb54b27aaa.jpg,1
42a5e1babb.jpg,-1
f41df0c6a2.jpg,1
5d39609281.jpg,-1
58bdba2e9a.jpg,-1
97a11fe9f9.jpg,-1
230de25f78.jpg,-1
cc477a83f5.jpg,-1
075f4bc8e3.jpg,-1
d954932bdd.jpg,-1
c3bcb09bd8.jpg,-1
612d714c33.jpg,-1
21f16627f5.jpg,1
7eff323f26.jpg,-1
ac25f8c27b.jpg,-1
ed9046231a.jpg,-1
09ca8b0e1b.jpg,-1
409deae125.jpg,-1
46bba2cec5.jpg,-1
9fbf4c155f.jpg,-1
2f49af5273.jpg,-1
97b4b10074.jpg,1
15bb6d167d.jpg,1
0149450f2c.jpg,1
d5265ca84d.jpg,1
f19b694ffb.jpg,1
6d02d9d66f.jpg,1
0ce9bc98d8.jpg,-1
0a3b18af99.jpg,-1
07c426959b.jpg,-1
a65d5bdaed.jpg,-1
c54c8f5c4d.jpg,-1
86c548db2f.jpg,-1
7967af0dd4.jpg,1
2c4f8c4c9a.jpg,1
24f6c7877d.jpg,1
c1d17fec9d.jpg,1
fa81c96028.jpg,1
0e5deea4c2.jpg,-1
343b228cab.jpg,-1
1ae9c2dfa8.jpg,1
eb9bcb9e08.jpg,1
86597e5ab5.jpg,1
15bb6d167d.jpg,1
374a6d550e.jpg,1
a507ed28f2.jpg,1
e4b480ae63.jpg,1
fb1bcb771f.jpg,1
6a7a7bebd2.jpg,1
ff9900299b.jpg,1
bc7c4dfc0a.jpg,-1
9ab87681a5.jpg,1
160151ebcc.jpg,1
8b269ec19a.jpg,1
d3c2218d4a.jpg,1
dfbf6d2d1a.jpg,-1
362b80225c.jpg,1
89c31748e1.jpg,1
62565f84b7.jpg,1
82756f9f44.jpg,-1
4218395ecc.jpg,1
d1f6287a44.jpg,-1
b100695746.jpg,1
917337cb54.jpg,-1
069e55fd7a.jpg,1
76f024fd1d.jpg,-1
08e5130872.jpg,1
a507ed28f2.jpg,-1
455c243a60.jpg,1
d7b733bcf8.jpg,1
793e8ae354.jpg,1
6dd8ade5ab.jpg,1
fa27074a01.jpg,1
cf205c57db.jpg,1
ab870b5211.jpg,1
2681084c76.jpg,1
562305176b.jpg,1
1aa32a4ec5.jpg,1
659865324e.jpg,1
f94365c332.jpg,1
6d6f7a2b77.jpg,1
b4a1773263.jpg,1
32a53ec510.jpg,1
d7f5f47041.jpg,1
c1d17fec9d.jpg,1
ca7cd1c413.jpg,1
e170a3dd18.jpg,-1
0a68153a88.jpg,1
562305176b.jpg,1
4e062c78d4.jpg,1
cf0724c993.jpg,1
9710c1ccdd.jpg,1
639ce3fa5c.jpg,1
9c18ccc670.jpg,1
1a6fd9c1d6.jpg,1
4826e0a93c.jpg,1
f9e89143b3.jpg,-1
4a89d4bb07.jpg,-1
906cd91365.jpg,1
3e34207f76.jpg,1
07ceb394b2.jpg,-1
93dd1113c3.jpg,1
2c929ee935.jpg,1
c6b1c0a759.jpg,-1
7c2c542c7b.jpg,-1
fa27074a01.jpg,1
d13f04e498.jpg,1
287a141198.jpg,1
af0fef52b5.jpg,1
3c44055399.jpg,1
73d67c526f.jpg,1
3dceca165f.jpg,1
7b78eca721.jpg,1
1dcfeef74e.jpg,1
fe4a5c7534.jpg,1
8e6a11073f.jpg,1
5cc0d7c4aa.jpg,1
ff6a24c69c.jpg,1
27df90bf52.jpg,1
a66379596c.jpg,1
7b7bc5f625.jpg,-1
25e249833e.jpg,1
81cf00de17.jpg,1
0a68153a88.jpg,1
e7ec9d2260.jpg,1
3f1d7d0b1c.jpg,1
00ece4437c.jpg,-1
17add738ed.jpg,1
7374b3a705.jpg,1
96af307ce5.jpg,-1
9ced5ef9af.jpg,-1
639ce3fa5c.jpg,1
639ce3fa5c.jpg,1
0ff9e85e0c.jpg,1
9710c1ccdd.jpg,1
81cf00de17.jpg,1
1aa32a4ec5.jpg,1
bcfbcff9d6.jpg,1
8209615c66.jpg,1
8e763c5596.jpg,1
4e062c78d4.jpg,1
287a141198.jpg,1
17add738ed.jpg,1
86396f7713.jpg,-1
77eda0616e.jpg,-1
b866515565.jpg,-1
517524544f.jpg,-1
362b80225c.jpg,-1
7c2c542c7b.jpg,-1
7c891b4b2f.jpg,-1
d3d36c1cb4.jpg,-1
287a141198.jpg,-1
8dc7c85314.jpg,-1
299479d914.jpg,-1
8f1eac5796.jpg,-1
bc9fdc99dd.jpg,-1
74738b7894.jpg,-1
cf0724c993.jpg,-1
a96f5324e6.jpg,-1
77eda0616e.jpg,-1
749b042dfe.jpg,-1
ab780cbd6f.jpg,-1
12f854d1db.jpg,-1
2d6e438dcb.jpg,1
8a86c10ddc.jpg,-1
5bcfeb9b38.jpg,-1
299479d914.jpg,-1
815c14f7ac.jpg,-1
478c0e3c3d.jpg,-1
05f0782aeb.jpg,1
902379ad6e.jpg,-1
203b7fd63e.jpg,1
afc69534e0.jpg,1
eae0fbc883.jpg,1
15b8cb890f.jpg,-1
4802bbb54e.jpg,1
793e8ae354.jpg,1
8dc7c85314.jpg,-1
2c929ee935.jpg,-1
cc42e38565.jpg,-1
d0891afc12.jpg,-1
300fdd9c80.jpg,-1
d577a6d0cd.jpg,-1
d405e35f52.jpg,-1
9867512884.jpg,-1
6e69115b39.jpg,-1
d405e35f52.jpg,-1
34c4ce78cd.jpg,-1
c50232bee7.jpg,-1
c0089221e2.jpg,-1
e02d5c2a9e.jpg,1
421f49d0c2.jpg,1
8e696a3c0f.jpg,-1
e91d5005f1.jpg,1
07c426959b.jpg,1
f2c6acddbe.jpg,1
fcd87d22c1.jpg,1
75ebaeeeed.jpg,-1
5fb9c9f428.jpg,1
adcb874b57.jpg,1
c08b2d024a.jpg,1
39b1afc19c.jpg,1
aa2166118c.jpg,-1
619c33d85d.jpg,-1
a96f5324e6.jpg,1
c800a3bf93.jpg,1
fb8e23a677.jpg,1
edd51a229a.jpg,1
927e6f41e3.jpg,1
a22cef6898.jpg,1
464e412160.jpg,1
c893ddb7ea.jpg,1
739c83c721.jpg,1
0c3268a232.jpg,-1
9a5dd34274.jpg,1
46635b41aa.jpg,1
b73cd6aa28.jpg,1
341cbfc9b0.jpg,1
b8d3e967f8.jpg,1
a65d5bdaed.jpg,1
7f2899c697.jpg,1
5f8767a37b.jpg,1
2f65a5f62f.jpg,-1
a507ed28f2.jpg,1
f62106efc3.jpg,1
06bfb12cd6.jpg,1
464e412160.jpg,1
0bcb24679b.jpg,1
50a9dc26fe.jpg,1
562305176b.jpg,1
41ce31bee5.jpg,-1
6880afa704.jpg,1
d9396bd036.jpg,1
2b1407ec7c.jpg,1
380f6ba0b4.jpg,1
a96f5324e6.jpg,1
7e5f7ea289.jpg,-1
93dd1113c3.jpg,1
bb6c215ee4.jpg,1
7e552ff965.jpg,1
bee8c6dd2a.jpg,1
906cd91365.jpg,1
7daadaa865.jpg,-1
18df70f276.jpg,-1
00ece4437c.jpg,-1
5a43a00018.jpg,-1
e0e0f6d84e.jpg,-1
87938adeef.jpg,-1
2a0ac6ea55.jpg,-1
5fc4bdcb98.jpg,-1
f6674f9bef.jpg,1
f572d07607.jpg,-1
3ecb1a4a63.jpg,1
cc76fbd03f.jpg,-1
50a06fee2f.jpg,-1
980be43ef9.jpg,-1
eed0d8e95b.jpg,-1
af0fef52b5.jpg,1
46635b41aa.jpg,-1
bfb4c14e59.jpg,-1
3eec15726d.jpg,-1
1da5bc8731.jpg,-1
5f851335cc.jpg,1
5bfa0cbe5d.jpg,-1
f312fecff2.jpg,-1
4108973f86.jpg,-1
5f8767a37b.jpg,-1
b302c5e438.jpg,-1
ca7031fafe.jpg,-1
b649738b4f.jpg,-1
02967a519d.jpg,-1
7a62cfb411.jpg,1
7068a7870b.jpg,-1
700da5e198.jpg,-1
ff6a24c69c.jpg,-1
01c1855fc6.jpg,-1
860d2a5572.jpg,-1
b8d3e967f8.jpg,-1
f685d6e376.jpg,1
f00ebf229e.jpg,-1
7bf7b344a7.jpg,-1
45bcb574d3.jpg,-1
97fc9e3705.jpg,-1
aca1049b94.jpg,-1
